AGID_Port,Agency_PortDescription,Longitude,Latitude,AREA,IFQ_AREA
C900,SOUTH OF CALIFORNIA,-117.1221833,32.5,SOUTH,400
C868,IMPERIAL BEACH,-117.1178241,32.57655525,SOUTH,400
C874,PALM CITY,-117.0840791,32.58377425,SOUTH,400
C889,CHULA VISTA,-117.0934971,32.64129824,SOUTH,400
C864,BONITA,-117.0420871,32.66306124,SOUTH,400
C882,NATIONAL CITY,-117.0954181,32.66951624,SOUTH,400
C884,CORONADO,-117.1759541,32.68034324,SOUTH,400
C881,POINT LOMA,-117.2391621,32.68413425,SOUTH,400
C880,SAN DIEGO,-117.1638291,32.71882924,SOUTH,400
C800,SAN DIEGO AREA,-117.09758,32.719143,SOUTH,400
C865,SPRING VALLEY,-116.9715841,32.73097523,SOUTH,400
C877,LEMON GROVE,-117.0320661,32.73422723,SOUTH,400
C872,WINTERHAVEN,-114.6332165,32.73807211,SOUTH,400
C885,OCEAN BEACH,-117.2525061,32.74516624,SOUTH,400
C898,LA MESA,-117.0247931,32.76969723,SOUTH,400
C869,MISSION BAY,-117.247017,32.77589,SOUTH,400
C886,MISSION BEACH,-117.2525201,32.78252924,SOUTH,400
C878,EL CENTRO,-115.5524884,32.78678615,SOUTH,400
C879,EL CAJON,-116.9623471,32.79495222,SOUTH,400
C866,IMPERIAL,-115.5699504,32.83748614,SOUTH,400
C888,LA JOLLA,-117.2745971,32.84751623,SOUTH,400
C860,SANTEE,-116.9831291,32.85516521,SOUTH,400
C734,SAN CLEMENTE ISLAND,-118.4707833,32.87808333,SOUTH,400
C890,DEL MAR,-117.2651791,32.96428921,SOUTH,400
C852,POWAY,-117.0234491,32.9863662,SOUTH,400
C895,SOLANA BEACH,-117.2717201,32.99182921,SOUTH,400
C893,CARDIFF,-117.2822181,33.01909121,SOUTH,400
C894,ENCINITAS,-117.2609181,33.0517612,SOUTH,400
C867,LEUCADIA,-117.302242,33.06418721,SOUTH,400
C899,ESCONDIDO,-117.0814321,33.12162719,SOUTH,400
C891,CARLSBAD,-117.326888,33.1229572,SOUTH,400
C862,SAN MARCOS,-117.1741971,33.13857219,SOUTH,400
C883,OCEANSIDE,-117.369227,33.18358119,SOUTH,400
C897,VISTA,-117.2434571,33.20159719,SOUTH,400
C859,VALLEY CENTER,-117.0128741,33.20521717,SOUTH,400
C875,NILAND,-115.5190314,33.23910309,SOUTH,400
C870,SAN YSIDRO,-116.5712462,33.25374514,SOUTH,400
C630,RINCON,-116.9586751,33.28843216,SOUTH,400
C873,SALTON SEA,-115.9626873,33.29947811,SOUTH,400
C741,AVALON,-118.3320769,33.33498723,SOUTH,400
C733,CATALINA ISLAND,-118.397614,33.370129,SOUTH,400
C861,FALLBROOK,-117.238162,33.37654017,SOUTH,400
C858,PALO VERDE,-114.7324805,33.43313403,SOUTH,400
C766,SAN CLENENTE,-117.613534,33.44437418,SOUTH,400
C772,CAPISTRANO,-117.671681,33.46485318,SOUTH,400
C767,DANA POINT,-117.697938,33.47276018,SOUTH,400
C863,NORTH SHORE,-115.9272105,33.51277286,SOUTH,400
C765,CORONA DEL MAR,-117.8711954,33.59661536,SOUTH,400
C764,BALBOA,-117.8994559,33.60193618,SOUTH,400
C748,NEWPORT BEACH,-117.9306419,33.62133417,SOUTH,400
C712,MISSION VIEJO,-117.6513719,33.62794416,SOUTH,400
C855,THERMAL,-116.1395252,33.64053007,SOUTH,400
C759,COSTA MESA,-117.9189849,33.65252117,SOUTH,400
C768,HUNTINGTON BEACH,-118.0125409,33.66470017,SOUTH,400
C790,IRVINE,-117.7914109,33.67142316,SOUTH,400
C754,ELSINORE,-117.321526,33.68975413,SOUTH,400
C704,FOUNTAIN VALLEY,-117.9456339,33.70439717,SOUTH,400
C739,SUNSET BEACH,-118.0687299,33.71649817,SOUTH,400
C770,SAN PEDRO,-118.2879138,33.73603818,SOUTH,400
C745,TERMINAL ISLAND,-118.2923218,33.73604118,SOUTH,400
C854,HEMET,-116.9890711,33.73860611,SOUTH,400
C771,SANTA ANA,-117.8676119,33.74552516,SOUTH,400
C707,WESTMINISTER,-117.9895039,33.75921016,SOUTH,400
C760,SEAL BEACH,-118.0741549,33.75947417,SOUTH,400
C706,RANCHO PALOS VERDES,-118.3699128,33.76289118,SOUTH,400
C746,WILMINGTON,-118.2624298,33.77996518,SOUTH,400
C726,ORANGE,-117.8532389,33.78812815,SOUTH,400
C743,LONG BEACH,-118.1518128,33.78984417,SOUTH,400
C779,HARBOR CITY,-118.2974648,33.78992918,SOUTH,400
C856,PALM SPRINGS,-116.5431791,33.80143308,SOUTH,400
C736,LOS ALAMITOS,-118.0588159,33.80297616,SOUTH,400
C730,TORRANCE,-118.3598998,33.82621118,SOUTH,400
C710,HAWAIIAN GARDENS,-118.0720619,33.83141316,SOUTH,400
C711,CARSON,-118.2637318,33.83158717,SOUTH,400
C721,ANAHEIM,-117.9194219,33.83426315,SOUTH,400
C742,REDONDO BEACH,-118.3854018,33.83817818,SOUTH,400
C756,HERMOSA BEACH,-118.3954148,33.86453217,SOUTH,400
C780,FULLERTON,-117.9242899,33.87038915,SOUTH,400
C762,MANHATTAN BEACH,-118.3960778,33.88741517,SOUTH,400
C773,GARDENA,-118.3091218,33.89466217,SOUTH,400
C778,PARAMOUNT,-118.1688158,33.89818116,SOUTH,400
C728,NORWALK,-118.0825189,33.90280315,SOUTH,400
C709,EL SEGUNDO,-118.3960768,33.91644217,SOUTH,400
C755,NORCO,-117.5588579,33.92425612,SOUTH,400
C777,LYNWOOD,-118.2116368,33.93049616,SOUTH,400
C775,BEAUMONT,-116.96605,33.93253009,SOUTH,400
C702,SOUTH GATE,-118.2075198,33.94441915,SOUTH,400
C769,RIVERSIDE,-117.4004,33.94742511,SOUTH,400
C776,PLAYA DEL REY,-118.4447268,33.94895217,SOUTH,400
C774,INGLEWOOD,-118.3439228,33.95979216,SOUTH,400
C724,BELL GARDENS,-118.1516238,33.96548815,SOUTH,400
C727,WHITTIER,-118.0373849,33.96577314,SOUTH,400
C700,LOS ANGELES AREA,-118.247223,33.974442,SOUTH,400
C749,LAGUNA,-118.138885,33.976665,SOUTH,400
